WORD,FAM,CONC,IMAG,MEANC,MEANP,AOA
card,5.43,5.65,5.78,4.47,,
cardinal,4.51,6,5.31,4,,
care,5.63,3.42,3.83,4.55,,
career,5.89,3.73,4.18,,,5.14
carefree,4.84,,4.46,,,
careful,6.05,,3.46,,,
careless,5.08,,3.61,,,
cargo,4.01,,4.97,,,
carnage,2.98,3.76,3.51,,,6.28
carnation,4.9,6.25,6.11,4.66,,
carol,4.89,5.35,4.99,4.02,,
carp,4.39,6.13,5.39,3.72,,
carpet,5.08,5.81,5.38,4.03,,
carriage,4.36,5.76,5.29,,,3.67
carrot,5.39,6.22,5.77,4.25,,
carry,5.54,3.64,3.93,4.36,,
cart,4.54,5.76,5.97,,,2.58
cartilage,3.96,5.25,4.21,,,5.92
case,5.53,5.48,5.17,4.08,,3.11
casement,2.31,5.45,4.68,,5.25,
cash,5.92,5.47,5.88,,7.21,
casket,4.66,6.13,5.88,4.33,,
casque,2.65,5.02,2.8,,,6.11
cast,4.95,5.02,4.83,3.85,,
caste,4.21,3.68,4.23,3.51,,
castle,4.15,,,,,
castor,3.65,5.35,4.29,,,4.53
casualty,5.03,,,,,
cat,5.82,6.15,6.17,4.87,6.76,
catastrophe,4.28,3.05,4.35,,,5.25
caterpillar,4.57,5.86,6.26,3.87,6.88,
catfish,4.16,6.14,5.44,3.56,,4.11
cathedral,4.4,5.53,5.99,4.48,,
cattle,5.11,6,6.19,,7.56,2.61
caucus,3.2,4.02,3.66,3.11,,
caught,5.5,3.4,4.01,4.44,,
caul,0.87,2.73,1.88,1.38,,
cauliflower,4.62,6.42,5.67,3.9,,
causality,3.47,3.81,3.34,,4.38,
cause,5.57,2.87,2.82,3.67,,4.08
caustic,3.07,,3.17,,,
cautious,5.15,,3.63,,,
cave,5.26,5.92,6.01,4.78,,
cavern,4,5.34,5.48,,,4.33
cedar,3.81,6.08,5.16,,,4.25
cede,1.93,2.39,2.4,2.34,,
ceiling,5.31,6.06,5.57,4.39,,
cell,5.2,5.42,5.9,4.69,7.52,
cellar,4.67,5.72,5.72,4.38,6.79,3.61
cello,2.95,,,,,
cement,5.16,6.46,5.78,4.23,,
cent,4.73,5.44,5.18,4.34,,4.33
centennial,4.68,3.51,4.21,3.84,6.13,
center,5.4,3.71,4.59,4.52,,
century,5.14,3.46,3.95,4,,4.14
cereal,5.43,6.37,5.76,4.49,,
cerebrum,3.81,5.36,5.18,3.53,6.12,
ceremony,5.01,4.3,5.23,5.05,5.17,4.19
certificate,4.88,5.17,5.29,,,4.39
chain,5.13,5.95,5.59,4.61,,3.11
chair,6.17,6.06,6.1,4.46,7.2,
chalk,5.6,6.34,6.01,4.33,,
challenge,5.15,3.08,4.02,,,4.56
chamois,2.76,4.88,4.64,2.3,,
champion,5.07,4.59,5.08,,,3.61
chance,5.63,2.54,3.54,3.98,5.61,
channel,4.82,5.27,5.08,,,4.11
chaos,4.5,2.99,4.64,,5.88,
chaotic,4.39,3.13,4.34,4.48,,
chapel,4.71,5.87,5.6,4.45,,3.61
character,5.51,3.65,3.72,,,4.64
charity,5.18,3.73,4.45,,,4.33
charlatan,2.01,4.07,3.5,3.08,3.19,
charm,5.14,3.52,4.55,4.75,6.13,4.56
charming,5.14,3.86,4.61,4.7,,
chart,5.33,5.32,5.31,4.03,,
charter,4.02,4.66,4.06,,4.89,
chasm,2.7,4.79,4.56,,6.04,
chassis,3.27,5.61,3.86,,,5.89
chatterbox,4.39,4.77,5.16,,,3.14
cheat,5.49,3.29,4.57,4.46,,
cheek,5.33,5.65,5.61,,,2.67
cheered,4.79,,4.24,,,
cheerful,5.37,3.62,4.75,5,,
cheery,4.17,,4.49,,,
cheese,5.88,6.24,5.92,5.02,,2.11
chemistry,5.33,3.74,4.58,4.35,,
cherry,5.14,6.11,5.82,4.97,,3.17
chest,5.43,5.8,5.56,4.53,,
chestnut,5.23,6,6.02,4.08,,
chew,5.7,4.42,5.27,4.74,,
chic,4.4,4.54,4.37,3.97,,
chicken,5.44,6.14,6.19,4.62,,2.5
chief,4.82,5.03,5.45,4.55,6.08,
child,5.85,5.81,6.19,5.84,7.04,
childhood,5.15,3.35,4.89,,,3.72
childish,5.39,,4.17,,,
children,6.08,5.82,5.97,6.08,,
chilly,5.36,3.79,4.6,4.75,,
chimney,4.79,,,,,
chin,5.45,5.92,6.08,,5.28,
china,5.07,5.78,5.97,4.74,,
chinchilla,3.93,5.58,5.3,3.22,,
chink,3.93,4.62,4.29,,,4.58
chipmunk,5.29,6.11,6.09,4.42,,
chisel,4.69,5.97,5.67,4.08,,
chloride,3.91,5.47,4.35,,5.75,
chlorine,4.33,5.91,4.8,,,5.86
chocolate,5.6,5.76,6.11,4.77,,
choir,5.26,5.67,5.67,4.18,,
choose,5.34,3.08,2.99,3.61,,
chop,4.87,5.55,5.75,,,3.17
choral,4.11,4.6,4.9,3.37,,
chorus,4.08,,5.09,,,
chow,2.98,4.43,3.26,,,5.61
christmas,6.11,4.32,6.29,,8.76,
chrome,3.85,5.55,4.91,,,5.28
chronology,3.02,2.66,2.91,,,6.31
chuckle,5.05,4.29,4.97,5.28,,
church,5.6,5.87,6.16,5.2,7.52,2.78
chute,4.37,4.96,4.67,3.17,,
cider,5.07,6.26,6.26,,,4.31
cigar,5.36,5.8,6.19,3.95,6.22,
cigarette,5.73,6.07,6.45,4.61,,
cinder,3.82,5.79,5.19,3.79,,
cinnamon,5.15,5.99,5.71,3.8,,
cinque,1.61,2.5,2.39,2.05,,
circle,5.81,5.15,5.91,4.74,4.88,2.14
circuit,4.42,4.93,4.72,,6.38,4.94
circular,4.87,4.04,5.43,4.51,,
circumspect,2.56,,,,,
circumstance,5.11,2.5,2.1,,,5.19
circus,4.89,5.35,5.86,4.9,,
citation,3.06,4.25,3.86,,5.06,
cite,3.66,3.37,3.31,2.8,,
citizen,5.35,4.55,4.45,4.73,,
city,6.16,5.54,6.05,5.6,7.72,
civil,5.08,,3.17,,,
civilization,4.91,3.61,4.37,,,5.03
claim,5.25,3.31,3.21,,,4.17
clam,4.86,5.64,5.41,3.92,,
clammy,4.59,3.93,4.66,4.15,,
clamor,3.57,3.99,4.06,3.92,,
clamour,3.51,3.53,3.62,,,5.61
clang,4.31,4.23,4.45,4.22,,
clarinet,4.64,6.33,5.93,4.28,,
clash,4.88,3.99,4.56,,,4.22
clasp,4.41,4.98,4.56,,,3.92
classic,4.66,,,,,
claw,4.45,5.87,6,,6.67,
clay,4.55,6.06,5.75,,,3.58
clean,6.1,3.92,4.54,4.93,,
cleanness,4.33,3.73,4.79,,5.64,
clear,5.76,3.59,4.56,4.55,,
clearance,4.18,3.28,3.19,,,5.47
cleat,3.33,5.46,4.81,3.03,,
cleaver,3.57,5.26,4.78,,,5.61
clemency,2.33,2.64,3.34,,3.94,
clever,5.15,3.13,3.78,4.02,,3.33
client,5.24,,4.43,,,
cliff,4.79,5.91,5.99,,,3.22
clinch,4.74,3.69,4.23,3.81,,
clink,3.82,4.56,4.72,,,3.92
cloak,4.23,5.43,5.18,4.1,,
clock,6.08,5.91,6.14,,7.08,
close,5.87,3.91,4.2,,,2.83
closer,5.36,3.23,3.93,3.95,,
closet,5.4,5.99,5.25,4.15,,
cloth,5.61,5.8,5.47,4.75,,
clothes,6.52,6,6.29,,,1.94
clothing,6.14,5.7,5.88,,7.08,
cloud,5.53,5.54,5.95,4.54,,
clove,3.95,5.65,4.46,3.15,,5
clover,4.86,5.54,6.06,3.97,,
clown,5.11,6.27,5.89,4.72,,
club,5.33,5.09,5.22,4.57,,
clue,5.33,3.8,3.75,4.44,,
clumsy,5.12,3.86,4.36,4.3,,
clung,2.97,,3.54,,,
coach,5.09,5.61,5.6,4.1,,3.14
coal,5.13,5.84,5.81,3.77,,2.78
coarse,5.06,4.45,4.94,4.63,,
coast,5.41,5.62,5.88,4.93,6.4,
coat,6.1,6.01,5.72,4.55,,1.97
cobweb,3.79,,,,,
cock,4.34,6.11,5.86,,,3.14
cockpit,4.81,5.76,5.94,3.46,,
cocktail,5.11,5.76,6.04,4.88,,
code,4.64,4.32,4.6,,6.63,
coffee,6.25,6.13,6.18,4.4,7.28,2.92
coffer,2.79,5.34,3.02,,,6.03
coffin,5.31,5.95,6.06,4.53,,
cognition,4.32,2.7,3.21,3.79,,
coif,1.57,4.21,2.02,,,6.94
coil,4.98,4.9,4.92,3.47,,
coin,5.64,5.81,6.03,5.03,7.09,
coke,5.85,5.8,6.23,4.47,,
cold,6.26,4.57,5.31,5.39,,1.83
collar,5.09,6.22,5.82,4,,
collection,5.38,4.03,4.19,,,4.28
college,6.2,5.54,5.9,,7.28,
collegiate,2.17,3.79,2.16,,,6.53
cologne,4.07,5.76,5.86,,,4.94
colonel,4.82,5.23,5.52,3.67,,
colony,4.45,5.11,4.81,4.62,5,
color,5.82,4.67,5.13,5.34,,
colouration,3.1,4.02,4.35,,,5.61
column,5.19,5.2,4.91,,,4.36
combination,4.93,3.26,3.26,,,4.75
combine,4.93,4.02,3.59,3.64,,
combustion,4.52,4.62,5.05,,6.72,
come,6.08,3.55,3.22,4.08,,
comedy,5.88,3.65,4.89,,6.08,
comes,6.36,,2.83,,,
comestible,1.52,3.21,1.83,,,6.64
comet,4.26,,5.21,,,
comfort,5.66,4.02,4.21,4.56,,
comfortable,5.93,,4.34,,,
comforter,3.92,4.67,4.99,,6.19,
command,5.26,3.77,3.66,4.08,,
commander,4.09,5.12,4.78,,,4.56
commence,4.89,,,,,
commencement,4.07,2.93,2.91,,,5.5
commercial,5.36,4.23,4.6,4.89,,5.25
committee,5.32,4.98,4.81,,5.95,5.17
commode,3.54,4.82,4.47,3.76,,
common,5.95,,2.76,,,
communication,5.27,3.99,3.91,,,5.03
community,4.99,3.88,4.16,,,5.22
compact,5.18,4.41,4.62,4.52,,
company,5.73,4.24,4.26,,,4.36
comparison,5.6,3.11,3.36,,4.56,
compatriot,3.31,4.41,4.05,,,5.72
competence,4.58,2.56,3.39,,4.63,
competent,4.78,,2.95,,,
competition,5.44,3.42,4.43,,5.69,3.81
complacent,3.82,2.68,3.65,3.47,,
complete,6.05,,3.41,,,
complication,4.8,3.23,2.89,,,5.28
compliment,5.11,3.02,4.06,4.45,,5.06
composer,4.48,4.87,4.67,,,4.61
composure,4.58,3.24,3.61,3.82,,
comprehensive,4.27,,2.78,,,
compression,3.6,3.56,3.75,,,6.28
computation,3.28,,3.29,,,
comrade,3.97,4.97,5.15,,5.58,4.92
comradeship,3.74,3.15,4.5,,5.21,
concave,3.7,,4.8,,,
conceited,4.97,,4.1,,,
concept,5.32,2.64,2.58,,3.76,
concern,5.19,5.09,3.53,,,4.44
concert,5.2,2.52,5.78,,,3.86
conclusion,5.77,2.78,3.45,,,5.36
concrete,5.28,5.62,5.64,4.27,,
concurrence,3.14,2.72,2.56,,,6.44
condemn,5,3.14,3.49,4.2,,
condescension,3.31,2.85,2.95,3,,
condition,5.71,3.03,2.97,,,4.61
cone,5.06,5.73,5.59,,,2.75
conference,4.98,4.17,4.65,4.49,,5.39
confidence,5.66,2.7,3.71,,4.17,4.81
confident,5.54,,3.9,,,
confiscate,4.56,3.23,3.93,4.07,,
conflict,4.94,3.05,4.32,,,4.97
confusion,5.54,2.82,4.37,,,4.72
congenial,3.14,,3.52,,,
congress,3.89,3.84,3.56,,,5.75
conjugation,3.4,3.03,2.72,,,6.33
conjunction,4.6,2.88,3.61,3.53,,
connoisseur,3.54,4.83,5.13,,4.28,
conquest,4.41,3.39,4.22,,5.81,
conscience,5.36,2.55,3.86,,,5.03
conscientious,4.7,,3.54,,,
conscious,5.71,,3.54,,,
consequence,5.02,2.6,2.99,,,5.14
conservation,4.76,3.03,3.91,,,5.83
conservative,5.45,,3.73,,,
consider,5.62,,2.64,,,
considerable,5.42,3.02,2.97,4.27,,
consideration,5,2.6,3.18,,,4.94
consist,5.56,,2.49,,,
consistent,5,,2.98,,,
consolation,4.57,2.7,3.35,,,5.19
conspirator,3.64,4.64,3.86,,,5.56
constant,5.31,,2.9,,,
constitution,4.66,3.67,3.95,4.33,,6.11
construction,4.66,4.64,4.1,,,5.17
consummation,3.35,3.18,3.24,,,6.58
contact,5.43,4.56,4.49,4.08,,
contamination,3.88,3.41,4.56,,,5.94
content,5.53,3,3.91,,,3.89
contents,5.66,4.14,3.86,,5,
context,4.6,3.14,2.74,,4.44,
continent,4.59,4.59,4.78,,,4.53
continuation,4.7,2.88,3.21,,,4.92
continued,6.23,,2.81,,,
contract,5.09,4.67,4.57,4.1,6.32,
contraction,4.54,3.68,3.97,,,5.92
contradictory,4.93,,2.85,,,
contribution,5.05,3.53,3.94,,5.44,
control,5.59,3.11,3.47,,,4.11
convent,4.58,5.37,5.59,3.97,,
convention,4.66,4.88,5.02,,4.92,
conveyance,3.84,3.68,3.97,,,6.22
convocation,1.75,2.58,1.51,,,6.83
cook,5.68,5.02,5.04,4.43,,
cookie,5.85,6.34,6,5.02,,
cool,5.67,3.64,4.29,4.27,,
coolness,4.51,3.5,4.62,,,4.28
cope,5.16,3.47,3.44,4.23,,
copious,2.13,2.73,3.04,2.44,,
copper,4.91,5.47,5.48,3.5,,4.28
coral,4.25,5.72,5.61,3.37,,4.34
cord,4.77,5.64,5.49,3.81,6,
core,4.59,4.59,4.97,,5.11,3.44
cork,5.44,6.08,6.31,4.29,,
corkscrew,4.45,6.14,5.8,,,4.19
corn,5.48,5.76,6.01,4.28,6.96,
corner,5.56,5.33,5.56,3.75,5.67,
cornet,3.64,5.27,4.36,3.4,,
cornice,2.52,4.9,3.02,,,6.53
corporation,4.27,3.61,3.37,,,5.22
corps,4.33,4.38,4.08,3.9,,
corpse,4.06,5.87,6.14,,6.52,
correspondent,4.84,4.41,4.24,,,5.58
corridor,5.79,5.68,5.53,,,3.53
corse,2.2,3.6,1.83,,,6.22
cost,5.89,3.48,4.01,4.37,6.24,
costume,4.56,5.44,5.38,,6.19,3.92
cot,3.91,,,,,
cottage,5.43,5.93,6.07,4.82,7.76,
cotton,5.21,6.08,5.62,4.31,7.13,3.06
couch,5.21,5.78,5.36,4.73,,
could,6.22,,2.1,,,
coulomb,1.76,3.17,2.57,2.22,,
council,5.08,4.35,4.05,,,4.64
count,5.74,3.51,4.59,4.16,,
counterpane,3.27,5.05,4.18,,,5.36
country,5.92,4.65,5.39,5.95,,3.29
courage,5.11,2.77,4.4,,,4.19
course,5.64,3.89,3.91,4.28,,
court,5.49,5.09,5.52,4.52,,
courteous,5.15,3.64,3.87,4.67,,
courtship,4.23,3.46,5.2,,6.13,
cousin,5.15,5.02,4.78,,,2.78
cover,5.97,5.02,4.43,,,2.89
cow,5.29,6.21,6.32,4.74,,
cowardice,4.31,2.63,3.44,3.79,,
cowardly,4.95,2.45,3.78,4.32,,
cowboy,5.21,,,,,
cowhide,3.46,5.87,5.28,,6.39,
cowl,2.4,4.56,3.37,2.73,,5.92
crab,4.33,6.26,5.89,,,2.92
cradle,4.78,5.87,5.92,4.3,6.96,
craft,4.87,4.64,4.29,,,4.22
crag,2.45,5.56,4.79,,5.44,
cranberry,4.83,5.96,6.49,3.93,,
crane,4.28,6.06,5.62,,,3.5
cranium,3.13,5.58,4.6,,5.68,
crank,4.75,4.48,5.24,4.02,,
craven,2.88,2.95,2.62,,,6.08
crawl,5.19,4.08,4.88,4.25,,
cream,5.14,6.21,5.57,4.7,,
creative,5.13,,4.04,,,
creator,4.31,3.95,4.09,,5.68,
creature,5.08,5.41,4.92,,5.5,3.53
creeper,3.9,5.55,5.26,,,4.31
crew,4.42,5.23,4.86,,,3.66
crime,5.37,3.87,4.71,4.82,6.84,3.83
crisis,5.21,3.19,3.75,,5.44,
criterion,3.49,2.61,2.5,,3,
critical,5.17,,3.05,,,
criticism,5.18,3.16,3.33,4.32,,5.61
croak,4.46,3.95,4.45,3.85,,
crock,3.56,4.56,3.51,,,5.17
crocodile,4.56,5.83,6.01,3.87,,
crook,4.67,5.2,5.26,,,3.74
crooked,4.87,3.87,4.87,4.2,,
croquet,4.18,5.59,5.39,3.48,,
cross,5.25,5.14,5.01,4.32,,
crow,4.9,5.9,5.78,3.75,,3.08
crowd,5.23,5.46,5.48,5.15,,
crown,5.31,5.86,6.02,4.63,,
crucifix,4.16,5.64,5.76,4.31,,4.75
cruel,5.21,3.67,4.22,4.87,,
cruiser,4.9,5.71,5.53,4.68,,
crumb,5.24,5.41,4.97,3.85,,
crush,4.8,3.81,4.8,,,3.39
crutch,4.41,,,,,
cry,5.66,4.36,4.78,4.44,,
crypt,3.2,5.73,5.53,,,5.39
crystal,5.1,5.87,5.79,3.73,,
cube,5.02,5.3,5.75,4.17,,3.83
cucumber,5.36,6.53,6.23,4.28,,
cue,4.2,5.32,4.48,,,5.54
cuisine,3.35,4.97,5.41,,6.32,
cult,4.37,3.49,3.86,,,5.86
culture,5.23,3.51,3.39,4.37,,
cunning,4.17,2.65,3.8,,,4.26
cup,5.95,5.39,5.58,4.33,,
curb,5.26,5.77,5.56,4.03,,
cure,5.26,3.52,3.97,4.77,,3.5
curfew,4.75,4.26,4.71,4.25,,
curiosity,5.15,3.03,3.94,,,3.89
curler,5.01,6,5.21,3.87,,
current,5.09,,4.97,,,
curse,4.84,3.63,4.15,4.48,,4.5
curve,5.21,4.47,5.2,3.67,,3.64
custard,4.6,5.49,5.15,3.13,,
custom,5.38,3.23,3.64,4.38,5.33,
customary,4.52,,2.9,,,
customer,5.49,5.05,4.88,,,3.69
cut,5.81,4.3,4.6,4.31,,
cuttle,1.84,4.17,2.13,,,6
cylix,1.17,3.35,2.04,1.56,,
cymbal,3.75,5.13,4.94,3.08,,
cynic,4.65,3.79,3.77,,,6.19
cynical,3.64,,3.8,,,
cyst,3.35,5.7,5.1,,,6.28
dad,6.46,6.03,6.26,,,1.25
daffodil,4.04,5.95,6.11,,6.96,
dagger,4.8,5.76,5.81,4.4,,
dairy,4.67,5.65,5.37,,,3.31
dais,1.68,3.33,2.76,2.03,,
daisy,5.19,6.13,5.73,4.31,,
dalliance,1.15,3.2,2.97,,3.12,
damage,5.58,4.06,4.43,,,3.58
daman,1.13,2.84,1.9,1.63,,
dame,4.72,5.28,5.3,4.98,,
damsel,2.92,5.44,5.51,,6.12,4.06
dance,5.5,5.02,5.1,4.77,,
dancer,5.35,5.58,5.51,4.58,,
dancing,5.79,,5.38,,,
dandelion,5.13,5.58,5.79,4.22,,
dandruff,4.95,5.46,5.54,3.85,,
danger,5.57,3.38,5.05,4.98,,3
dare,5.1,2.91,3.73,3.95,,
dark,5.98,4.97,5.86,5.48,,
darkness,5.78,4.19,6.22,,,2.42
dart,4.96,6.08,5.97,,,3.92
date,6.13,5.14,5.01,5.02,,3.14
dawn,5.07,5.01,5.86,4.52,7.36,3.5
day,5.95,4.77,5.26,5.05,,
daybreak,3.87,5.11,6.08,,7.68,
daylight,5.47,4.92,5.75,,5.8,3.11
dead,5.81,4.29,5.2,4.97,,
deal,5.22,3.42,3.83,4.32,,3.81
dear,5.36,3.26,3.74,4.38,,
death,5.81,3.65,4.98,5.1,7.12,
debacle,1.69,3.7,2.84,2.43,1.92,
debate,4.59,3.75,3.97,,,5.64
debonair,3.15,,4.17,,,
debt,4.94,4.16,3.84,4.37,,
debut,3.51,3.03,3.16,,,5.64
decay,5.13,3.7,4.5,4.69,,
deceit,4.4,2.57,3.38,3.27,4.92,5.19
decision,6.01,2.97,3.4,,,4.37
deck,5.07,5.66,5.39,4.45,,3.47
decomposition,4.17,3.76,4.48,,,5.89
decorate,4.89,4.23,5.08,4,,
decorated,4.91,,4.39,,,
decoration,5.17,5.07,5.26,,5.84,
decoy,4.34,4.86,4.53,3.92,,
decree,3.76,3.85,3.41,,5.16,5.83
deduction,4.92,3.27,3.16,,5.08,
deed,4.75,4.1,3.9,,5.32,
deep,5.42,4,4.98,4.64,,
deer,5.09,6.31,6.24,4.77,,2.81
deface,4.9,3.97,4.25,4.4,,
defeat,5.19,3.63,4.02,4.73,,
defence,4.79,3.46,4.13,,,4.47
defiance,4.32,2.75,3.83,,,5.39
defiant,4.19,,4.07,,,
deficient,4.65,3.29,3.58,4.31,,
definition,5.19,2.62,2.24,,,5.67
degraded,4.96,2.62,3.25,4.24,,
degree,5.74,4.06,5.21,,,5.08
deity,3.04,3.05,2.99,,,6.22
delegation,4.12,4.06,3.56,,,6.11
deliberate,5.08,,3.41,,,
delicate,5.56,,3.78,,,
delight,5.1,2.82,4.59,,,4.14
delirium,3.17,3.18,4.81,,5,
deliver,5.29,3.93,3.88,3.95,,
dell,2.44,5.13,3.97,,4.56,4.72
delta,3.59,4.94,4.99,,,5.54
deluge,3.08,4.22,4.64,,5.32,
demeanour,3.02,2.57,2.35,,,6.17
democracy,5.66,2.98,3.64,5.02,5.72,
demolish,5.01,3.7,4.97,4.62,,
demon,3.99,3.02,4.74,,5.04,
demonstration,5.37,3.81,4.86,,,5.06
denial,4.07,2.72,3.64,,,5.03
dense,5.24,3.53,4.61,4.25,,
dent,4.8,5.17,4.86,,,3.61
dentist,5.63,6.07,6.22,4.46,,
department,5.96,4.47,4.26,,,4.94
dependable,5.31,,3.52,,,
depict,4.41,2.62,3.16,3.72,,
deposit,5.32,4.17,4.13,,,4.83
depressed,5.47,,4.36,,,
depression,5.41,3.03,4.53,,,5.5
deputy,4.62,4.55,4.35,,,4.33
deray,1.81,2.68,2.61,2.23,,
derby,4.56,4.95,4.95,3.87,,
derelict,2.45,5.06,4.66,,4.52,
derivation,4.34,2.42,2.67,,,6.11
describe,6.1,,3.15,,,
description,5.56,3.41,3.26,,,4.69
design,5.38,4.44,4.07,,,4.03
desire,5.5,,3.68,,,
desk,5.83,5.83,5.74,4.21,,
desolate,4.59,3.25,4.35,4.37,,
despair,4.84,2.79,3.88,4.1,,4.58
desperation,4.77,2.57,3.89,,,5.06
despise,4.69,3.14,4.5,4.84,,
despot,3.13,3.64,2.97,,,6.5
destroy,5.51,3.67,4.44,5.16,,
destroyer,4.48,5.13,5.08,3.88,,
destruction,4.88,3.65,5.05,,5.32,4.97
destructive,5.43,,4.26,,,
detective,5.09,5.05,5.24,,,3.77
determination,5.27,2.43,3.86,,4.64,
determine,5.39,,2.95,,,
detestation,2.4,2.53,3.18,,,6.28
detonation,3.39,4.08,4.43,3.34,5.48,
develop,5.58,,2.95,,,
development,5.36,3.16,3.56,,6.04,4.83
device,5,4.44,3.91,4.19,,4.72
devil,4.74,2.74,5.46,,6.94,
devotion,4.38,2.31,4.11,,5.52,
dew,4.27,5.78,5.59,,,3.31
dexterity,3.32,2.8,3.16,,,6.14
diadem,2.32,4.39,2.81,,,6.08
dial,5.66,5.37,5.41,4.3,,
diamond,5.12,6.1,6.23,4.7,7.84,3.39
dice,4.87,,,,,
dictation,4.32,3.56,4.32,,,4.94
did,5.42,2.35,3.29,2.94,,
die,5.69,3.58,4.99,5.74,,
diet,5.56,4.49,4.86,,,4.42
difference,5.92,2.7,2.93,3.82,,3.78
different,5.58,,3.29,,,
diffusion,4.37,3.27,3.76,,5.67,6.17
dignified,4.77,,3.85,,,
dignity,4.54,2.8,4.13,,,5.22
diligent,4.2,,4.02,,,
dim,4.95,4.02,4.5,3.67,,
dime,5.86,5.82,5.9,4.72,,
dimension,4.83,2.74,3.55,,,5.28
dimple,4.42,5.47,5.18,3.17,,
diner,4.42,5.15,4.97,,,4.44
dinner,6.21,5.42,5.7,5.39,,
dip,4.66,4.79,4.56,,,3.31
direction,5.62,3.36,3.99,,6.78,3.81
dirge,2.82,4.03,2.62,,,6.06
dirt,5.71,5.64,5.47,4.82,6.44,
dirty,5.89,,4.85,,,
disagreement,4.89,3.11,3.62,,,5.03
disappoint,5.37,3.31,3.51,4.21,,
disappointed,5.47,2.9,3.84,4.66,,
disaster,5.48,4.05,5.05,,6.56,
disavow,3.44,2.82,2.62,2.92,,
disc,4.66,5.53,5.75,,,4.47
discharge,4.14,4.74,4.26,,,5.31
discipline,5.07,2.77,3.86,,6.04,
disclosure,3.21,2.99,2.77,,3.56,
discolor,4.6,3.98,4.28,3.38,,
discolouration,3.56,3.58,3.7,,,6.06
disconnection,4.19,3.5,3.72,4.05,4.16,
discord,3.81,2.98,3.43,3.76,,6.11
discovery,5.13,3.32,4.01,,5.5,4.14
discretion,4.09,2.22,2.85,,4.2,
discriminating,5.09,,3.37,,,
discussion,5.41,3.41,3.81,,,5.22
disease,5.8,5.04,4.87,,7.44,
disgrace,4.88,2.78,3.86,,,4.22
dishonesty,4.75,2.55,3.62,,,4.31
disinfectant,4.99,5.78,5.29,,,4.33
dislocation,3.99,3.96,4.18,,,5.61
dismal,4.11,,3.8,,,
dismissal,4.47,3,3.62,,,4.94
disobedient,5.01,3.48,3.93,4,,
disparagement,2.42,2.57,1.94,,,6.8
disparity,2.78,2.7,3.18,,3.52,
display,5.67,4.62,4.53,,,4
disposition,4.58,2.51,3.36,,4.92,
dispute,5.2,3.5,4.21,,,5.22
disquiet,3.04,2.7,3.05,,,6.17
disruptive,4.53,3.18,3.67,4.33,,
dissection,4.31,4.39,5.62,,,6.06
distance,5.94,3.53,4.32,,,3.44
distinct,4.9,2.47,3.64,3.97,,
distinction,4.92,2.65,3.14,,3.8,5.11
distortion,4.62,3.65,4.28,4.15,,
distraction,5.09,2.89,3.59,,4.12,
distress,4.94,2.82,4.43,,,4.22
disturber,4.31,4.68,4.27,,4.6,
ditch,5.11,5.55,5.58,4.16,,2.92
dive,5.08,4.94,5.86,,,3.22
diver,4.48,,,,,
diversity,5.01,2.68,3.02,4.23,,
dividend,3.87,3.66,3.13,,,5.8
diving,5.06,5.47,5.98,4.33,,
division,5.18,3.32,4.04,4.03,,4.17
do,6.09,2.76,2.47,3.25,,
docile,4.54,3.39,3.84,3.78,,
dock,4.83,5.7,5.59,,,3.67
doctor,5.73,5.75,6,5.44,7.32,
doe,4.64,5.79,5.32,3.51,,
does,6.29,,2.1,,,
dog,5.98,6.1,6.36,5.53,,1.69
dogma,3.28,3.17,3.27,3.18,,
dogmatic,3.2,,3,,,
doll,5.03,5.88,5.65,4.49,6.12,1.61
dollar,6.11,5.75,6.11,4.92,6.48,
dolt,2.33,3.72,2.59,,,6.08
dome,5.04,5.17,5.57,3.34,,
domicile,2.19,4.56,4.35,,4.96,
domination,4.17,2.75,4.21,,,5.58
done,5.67,2.71,3.46,4.48,,
donor,4.79,4.09,4.06,3.93,,
door,6.3,6.06,5.99,4.87,7.96,2.14
doorway,5.32,5.78,5.48,,,3.53
dormitory,3.69,5.76,5.75,,,4.66
dot,5.24,5.3,5.56,,,2.19
dotage,1.8,2.93,2.73,1.9,,
dough,4.74,6.27,5.58,4.23,,3.69
doughnut,5.66,6.06,5.99,4.11,,
dove,4.15,5.88,6.16,,6.36,
dowager,2.68,4.87,3.16,,,6.31
down,5.46,3.39,4.59,4.44,,
downcast,4.01,,3.76,,,
dowry,2.89,4.09,4.22,,,5.56
dozen,5.68,3.96,5.25,,,3.19
drab,4.43,2.81,3.4,3.97,,
dragon,4.25,,,,,
drain,5.1,5.91,5.4,,,3.03
drama,5.34,3.75,4.82,4.92,7,
drape,3.96,5.32,4.64,,,4.69
draw,5.42,4.42,4.35,4.23,,
dread,4.6,2.67,3.78,,,4.67
dream,5.53,3.86,4.85,4.77,5.44,
dreamer,5.17,4.42,5.07,,5.04,3.5
dreary,5.06,3.24,4.63,4.52,,
dress,5.88,5.95,5.95,5.02,5.68,2.22
dresser,5.26,5.6,5.56,3.85,,
drill,4.73,5.16,5.71,3.7,,
drink,6.28,5.49,5.53,4.88,,2.11
driver,5.93,5.53,5.67,,,2.83
drizzle,5.16,5.58,5.82,4.84,,
drop,5.77,3.2,4.17,4,,
dropper,4.67,4.92,4.33,3.43,,
drove,4.32,4.47,3.53,,,4.06
drug,5.39,5.55,5.64,,,4.64
